frame_number,total_vehicles,cars,trucks,buses,motorcycles,bicycles,confidence_threshold
176,13,10,2,0,0,1,0.25
177,15,11,2,0,1,1,0.25
178,15,12,2,0,1,0,0.25
179,14,11,2,0,1,0,0.25
180,16,13,2,0,1,0,0.25
181,13,10,2,0,1,0,0.25
182,15,12,2,0,1,0,0.25
183,13,11,1,0,1,0,0.25
184,14,12,1,0,1,0,0.25
185,15,12,2,0,1,0,0.25
186,16,13,2,0,1,0,0.25
187,17,13,3,0,1,0,0.25
188,17,13,2,0,2,0,0.25
189,14,13,1,0,0,0,0.25
190,13,12,1,0,0,0,0.25
191,13,10,2,1,0,0,0.25
192,10,9,1,0,0,0,0.25
193,14,9,3,0,2,0,0.25
194,13,9,3,0,1,0,0.25
195,14,8,4,1,1,0,0.25
196,14,11,2,0,1,0,0.25
197,13,10,2,0,1,0,0.25
198,14,10,3,0,1,0,0.25
199,15,10,3,1,1,0,0.25
200,12,10,1,0,1,0,0.25
201,13,11,1,0,1,0,0.25
202,12,10,1,0,1,0,0.25
203,11,10,1,0,0,0,0.25
204,14,12,1,0,1,0,0.25
205,14,12,1,0,1,0,0.25
206,13,11,1,0,1,0,0.25
207,15,12,2,0,1,0,0.25
208,15,11,3,0,1,0,0.25
209,15,11,2,0,2,0,0.25
210,14,10,3,0,1,0,0.25
211,15,11,3,0,1,0,0.25
212,19,12,3,2,1,1,0.25
213,15,11,3,1,0,0,0.25
214,15,11,2,1,1,0,0.25
215,16,12,2,1,1,0,0.25
216,16,12,2,1,1,0,0.25
217,15,11,2,1,1,0,0.25
218,16,12,2,1,1,0,0.25
219,16,13,2,0,1,0,0.25
220,16,13,2,0,1,0,0.25
221,15,12,2,0,1,0,0.25
222,15,12,2,0,1,0,0.25
223,15,11,2,0,2,0,0.25
224,15,11,2,0,1,1,0.25
225,14,11,2,0,0,1,0.25
226,15,10,3,1,0,1,0.25
227,16,10,3,0,2,1,0.25
228,15,9,3,0,2,1,0.25
229,16,11,2,0,2,1,0.25
230,16,10,2,1,3,0,0.25
231,18,11,1,1,4,1,0.25
232,18,11,1,2,4,0,0.25
233,16,10,2,0,3,1,0.25
234,15,10,2,0,2,1,0.25
235,15,10,1,1,2,1,0.25
236,15,11,1,0,2,1,0.25
237,13,10,0,0,2,1,0.25
238,15,11,0,1,2,1,0.25
239,14,9,0,1,3,1,0.25
240,14,10,0,1,2,1,0.25
241,16,11,1,1,2,1,0.25
242,16,11,1,0,2,2,0.25
243,14,9,2,0,2,1,0.25
244,16,11,2,0,2,1,0.25
245,15,12,0,0,2,1,0.25
246,16,11,1,0,3,1,0.25
247,17,12,1,0,3,1,0.25
248,16,12,0,0,3,1,0.25
249,16,12,1,0,3,0,0.25
250,16,10,2,0,3,1,0.25
251,15,10,2,0,3,0,0.25
252,16,11,1,0,3,1,0.25
253,15,11,1,0,2,1,0.25
254,15,11,1,0,2,1,0.25
255,14,11,0,0,2,1,0.25
256,15,11,0,0,3,1,0.25
257,16,11,1,0,3,1,0.25
258,16,11,1,0,3,1,0.25
259,16,11,1,0,3,1,0.25
260,15,11,1,0,2,1,0.25
261,17,12,2,0,2,1,0.25
262,16,11,1,0,3,1,0.25
263,17,12,1,0,3,1,0.25
264,17,12,1,0,3,1,0.25
265,17,12,1,0,3,1,0.25
266,15,11,1,0,2,1,0.25
267,15,11,1,0,2,1,0.25
268,16,12,1,0,2,1,0.25
269,17,12,1,0,3,1,0.25
270,17,12,1,0,3,1,0.25
271,17,12,1,0,3,1,0.25
272,16,12,1,0,2,1,0.25
273,17,12,1,0,3,1,0.25
274,17,12,1,0,3,1,0.25
275,17,12,1,0,3,1,0.25
276,16,12,1,0,2,1,0.25
277,16,12,1,0,2,1,0.25
278,18,13,1,0,3,1,0.25
279,17,13,1,0,2,1,0.25
280,16,12,1,0,2,1,0.25
281,17,12,1,0,3,1,0.25
282,16,12,1,0,2,1,0.25
283,16,12,1,0,2,1,0.25
284,16,12,1,0,2,1,0.25
285,16,12,1,0,2,1,0.25
286,15,12,1,0,2,0,0.25
287,14,12,0,0,2,0,0.25
288,13,11,0,0,2,0,0.25
289,15,11,1,0,2,1,0.25
290,14,11,1,0,2,0,0.25
291,17,13,2,0,2,0,0.25
292,16,12,2,0,2,0,0.25
293,14,11,1,0,2,0,0.25
294,14,11,1,0,2,0,0.25
295,14,11,1,0,2,0,0.25
296,14,12,1,0,1,0,0.25
297,15,12,1,0,2,0,0.25
298,14,12,1,0,1,0,0.25
299,13,11,1,0,1,0,0.25
300,13,11,1,0,1,0,0.25
301,14,11,2,0,1,0,0.25
302,15,11,2,0,2,0,0.25
303,14,10,2,0,2,0,0.25
304,14,10,2,0,2,0,0.25
305,14,10,2,0,2,0,0.25
306,14,10,2,0,2,0,0.25
307,15,11,2,0,2,0,0.25
308,13,10,1,0,2,0,0.25
309,13,10,1,0,2,0,0.25
310,12,10,1,0,1,0,0.25
311,13,10,2,0,1,0,0.25
312,13,11,1,0,1,0,0.25
313,13,10,2,0,1,0,0.25
314,13,10,2,0,1,0,0.25
315,13,10,2,0,1,0,0.25
316,12,10,1,0,1,0,0.25
317,12,10,1,0,1,0,0.25
318,12,10,1,0,1,0,0.25
319,12,10,1,0,1,0,0.25
320,12,10,1,0,1,0,0.25
321,11,9,1,0,1,0,0.25
322,11,9,1,0,1,0,0.25
323,12,10,1,0,1,0,0.25
324,12,10,1,0,1,0,0.25
325,12,10,1,0,1,0,0.25
326,13,10,1,0,2,0,0.25
327,14,10,2,0,2,0,0.25
328,13,10,1,0,2,0,0.25
329,13,10,1,0,2,0,0.25
330,12,10,1,0,1,0,0.25
331,12,10,1,0,1,0,0.25
332,13,11,1,0,1,0,0.25
333,12,10,1,0,1,0,0.25
334,12,10,1,0,1,0,0.25
335,13,10,1,0,2,0,0.25
336,13,10,1,0,2,0,0.25
337,13,10,1,0,2,0,0.25
338,12,9,1,0,2,0,0.25
339,13,10,1,0,2,0,0.25
340,13,10,1,0,2,0,0.25
341,13,10,1,0,2,0,0.25
342,13,10,1,0,2,0,0.25
343,12,9,1,0,2,0,0.25
344,14,10,2,0,2,0,0.25
345,17,12,3,0,2,0,0.25
346,18,13,3,0,2,0,0.25
347,17,12,3,0,2,0,0.25
348,18,12,4,0,2,0,0.25
349,17,11,4,0,2,0,0.25
350,15,10,3,0,2,0,0.25
351,16,11,3,0,2,0,0.25
352,17,12,3,0,2,0,0.25
353,17,12,3,0,2,0,0.25
354,16,11,3,0,2,0,0.25
355,17,12,4,0,1,0,0.25
356,16,11,4,0,1,0,0.25
357,16,11,4,0,1,0,0.25
358,16,11,4,0,1,0,0.25
359,14,10,3,0,1,0,0.25
360,16,11,3,0,2,0,0.25
361,15,10,3,0,2,0,0.25
362,18,13,3,0,2,0,0.25
363,18,13,3,0,2,0,0.25
364,18,13,3,0,2,0,0.25
365,18,13,3,0,2,0,0.25
366,17,13,3,0,1,0,0.25
367,15,11,3,0,1,0,0.25
368,15,11,2,0,2,0,0.25
369,16,11,3,0,2,0,0.25
370,15,10,3,0,2,0,0.25
371,16,10,3,0,3,0,0.25
372,15,10,3,0,2,0,0.25
373,15,10,3,0,2,0,0.25
374,15,11,2,0,2,0,0.25
375,17,12,2,0,3,0,0.25
376,17,12,2,0,3,0,0.25
377,16,11,2,0,3,0,0.25
378,16,11,3,0,2,0,0.25
379,16,11,3,0,2,0,0.25
380,15,10,3,0,2,0,0.25
381,17,11,4,0,2,0,0.25
382,17,11,4,0,2,0,0.25
383,17,11,4,0,2,0,0.25
384,17,11,4,0,2,0,0.25
385,17,11,4,0,2,0,0.25
386,17,11,4,0,2,0,0.25
